source_name,source_url,scholarship_title,provider_name,target_degree_level,application_url,host_country,institution,eligible_countries,eligible_nationalities,eligible_fields_of_study,funding_type,funding_amount_min,funding_amount_max,currency,coverage_items,application_open_date,application_deadline,intake_term_year,requirements_text,language_requirements,source_last_seen_at,content_hash,is_active
University of Oxford Scholarships,https://www.ox.ac.uk/admissions/graduate/fees-and-funding/funding/scholarships,Funding,University of Oxford Scholarships,Postgraduate/Masters,https://www.ox.ac.uk/admissions/graduate/fees-and-funding/funding,,,,,,,,,,,,,,Funding,,2026-02-24T04:31:11.444972,5dc344e0e7605414e753f6ed638bbcfd61357112f8cdb74a036c2381c7fc3d7c,True
University of Oxford Scholarships,https://www.ox.ac.uk/admissions/graduate/fees-and-funding/funding/scholarships,"Fees, funding and scholarship search",University of Oxford Scholarships,Postgraduate/Masters,https://www.ox.ac.uk/admissions/graduate/fees-and-funding/fees-funding-and-scholarship-search,,,,,,,,,,,,,,"Fees, funding and scholarship search",,2026-02-24T04:31:11.445737,f0b73789f1554902c8ea0ab87fe17d62cf0a9f45e62c90900ed73456b448475d,True
University of Oxford Scholarships,https://www.ox.ac.uk/admissions/graduate/fees-and-funding/funding/scholarships,Funding for under-represented groups,University of Oxford Scholarships,Postgraduate/Masters,https://www.ox.ac.uk/admissions/graduate/fees-and-funding/funding/under-represented-groups,,,,,,,,,,,,,,Funding for under-represented groups,,2026-02-24T04:31:11.445776,77e36e89a12daa85128fb862c67700ff39e475a9eacc851229d5dbd3a73f3410,True
University of Oxford Scholarships,https://www.ox.ac.uk/admissions/graduate/fees-and-funding/funding/scholarships,Standard scholarship selection terms,University of Oxford Scholarships,Postgraduate/Masters,https://www.ox.ac.uk/admissions/graduate/fees-and-funding/fees-funding-and-scholarship-search/standard-scholarship-selection-terms,,,,,,,,,,,,,,Standard scholarship selection terms,,2026-02-24T04:31:11.445823,e55791dfd68865ecd772e3a067ca8a3b32dde026a86c0032f5a54c3f535041d7,True
University of Oxford Scholarships,https://www.ox.ac.uk/admissions/graduate/fees-and-funding/funding/scholarships,A-Z of Scholarships,University of Oxford Scholarships,Postgraduate/Masters,https://www.ox.ac.uk/admissions/graduate/fees-and-funding/fees-funding-and-scholarship-search/scholarships-a-z-listing,,,,,,,,,,,,,,A-Z of Scholarships,,2026-02-24T04:31:11.445865,b105b55b6b8283bded654f53a44ce3986e5be55c7c85f8f05e494f6512b2123e,True
University of Oxford Scholarships,https://www.ox.ac.uk/admissions/graduate/fees-and-funding/funding/scholarships,Scholarships,University of Oxford Scholarships,Postgraduate/Masters,https://www.ox.ac.uk/admissions/graduate/fees-and-funding/funding/scholarships,,,,,,,,,,,,,,Scholarships,,2026-02-24T04:31:11.445909,0b8812fd9118db266c02febb8319a8b6fd90bdf7382d8119f9aee070609ef7bf,True
University of Edinburgh International Funding,https://registryservices.ed.ac.uk/student-funding/postgraduate/international/masters,Other Funding,University of Edinburgh International Funding,Postgraduate/Masters,https://registryservices.ed.ac.uk/student-funding/postgraduate/international/other-funding,,,,,,,,,,,,,,Other Funding,,2026-02-24T04:31:14.908998,ce112de00bae6e6fbc18b51222e96996c8958f0305f70c06178744ad563fdca3,True
University of Edinburgh International Funding,https://registryservices.ed.ac.uk/student-funding/postgraduate/international/masters,Edinburgh Doctoral College Scholarships,University of Edinburgh International Funding,Postgraduate/Masters,https://registryservices.ed.ac.uk/student-funding/postgraduate/international/doctoral-college,,,,,,,,,,,,,,Edinburgh Doctoral College Scholarships,,2026-02-24T04:31:14.909037,f0f134989f2b01d39f1bc600eb6db3afb0f486124cb5d206b09cb25a9e09818a,True
University of Edinburgh International Funding,https://registryservices.ed.ac.uk/student-funding/postgraduate/international/masters,GREAT Scholarships 2026,University of Edinburgh International Funding,Postgraduate/Masters,https://registryservices.ed.ac.uk/scholarships-and-student-funding/prospective-postgraduates/funding-for-international-students/great,,,,,,,,,,,,,,GREAT Scholarships 2026,,2026-02-24T04:31:14.909063,beff200a8aa3cd71a265dd3362eb2883af8f2a5036f52bee6ba61c1881428330,True
UCL Scholarships and Funding,https://www.ucl.ac.uk/scholarships/,Scholarships Finder,UCL Scholarships and Funding,Postgraduate/Masters,https://www.ucl.ac.uk/scholarships/scholarships-finder,,,,,,,,,,,,,,Scholarships Finder,,2026-02-24T04:31:18.417265,e193ec4e691e0ae4ac1c42b854733849caf3e42e52869d2642ca6e426502dbbe,True
